,Store Number,City,Sales,Ave. Sale Price,County Number,Zip Code,Ave. Margin per Liter,Volume Sold(L),Ave. Volume sold(L),Margin,Q1 Sales
921,4708,GLENWOOD,12480.48,122.357647059,65,51534,0.437110177404,1150.5,11.2794117647,4.55882352941,3242.34
922,4709,AMES,5532.84,141.867692308,85,50010,0.623573463573,368.25,9.44230769231,4.96717948718,1079.16
923,4710,DUBUQUE,3425.14,100.739411765,31,52002,1.07827497666,225.5,6.63235294118,5.15911764706,1373.92
924,4711,DUBUQUE,3243.48,170.709473684,31,52002,0.583600668338,178.5,9.39473684211,5.45578947368,909.24
925,4712,DUBUQUE,3482.92,87.073,31,52001,1.82068650794,254.75,6.36875,4.7665,828.95
926,4713,CORALVILLE,4753.62,132.045,52,52241,0.715354938272,337.5,9.375,5.22666666667,1140.04
927,4714,INDIANOLA,1370.16,137.016,91,50125,0.401095238095,117.0,11.7,4.257,223.2
928,4715,WEST DES MOINES,5369.4,149.15,77,50265,0.530520282187,376.5,10.4583333333,4.93694444444,1305.54
930,4717,BETTENDORF,1862.3,80.9695652174,82,52722,1.68581017762,139.33,6.05782608696,4.89217391304,284.01
931,4718,WEST DES MOINES,5152.86,190.846666667,77,50266,0.44087595532,391.5,14.5,4.96592592593,1449.48
932,4719,WEST DES MOINES,4179.72,149.275714286,77,50265,0.5320861678,279.0,9.96428571429,5.19142857143,1317.0
933,4720,CHARITON,4291.02,165.039230769,59,50049,0.496665140415,259.5,9.98076923077,4.85653846154,753.12
934,4721,BURLINGTON,3151.2,196.95,29,52601,0.523665674603,190.5,11.90625,5.48375,696.24
935,4722,BURLINGTON,4086.72,204.336,29,56201,0.568724867725,243.0,12.15,5.6245,570.84
936,4723,CEDAR FALLS,1405.32,156.146666667,7,50613,0.46012345679,105.0,11.6666666667,4.83555555556,327.72
937,4724,NEWTON,975.9,121.9875,50,50208,0.433194444444,88.5,11.0625,4.43875,162.0
938,4725,ANKENY,8589.38,81.0318867925,77,50023,1.33229496107,622.3,5.87075471698,4.58254716981,2220.88
939,4726,ANKENY,4833.96,130.647567568,77,50021,0.527196482196,363.0,9.81081081081,4.90918918919,786.78
940,4727,ANKENY,2875.5,136.928571429,77,50021,0.651364323507,202.5,9.64285714286,5.38666666667,791.7
941,4728,IOWA CITY,2763.77,138.1885,52,52240,0.900328571429,157.0,7.85,5.526,684.06
942,4729,DENISON,2237.7,131.629411765,24,51442,0.669962651727,154.5,9.08823529412,4.53,2237.7
943,4730,JOHNSTON,3304.86,132.1944,77,50131,0.656965079365,225.0,9.0,5.0212,609.78
944,4731,CLIVE,4532.22,146.200645161,77,50325,0.639124423963,288.0,9.29032258065,5.49387096774,1326.84
945,4732,CLIVE,3065.4,145.971428571,77,50325,0.61470521542,207.0,9.85714285714,5.54,162.0
946,4733,URBANDALE,5596.2,139.905,77,50322,0.471582589286,436.2,10.905,4.69925,800.34
947,4734,URBANDALE,8452.14,143.256610169,77,50322,0.427765895435,687.0,11.6440677966,4.32118644068,2611.92
948,4735,OTTUMWA,3443.04,172.152,90,52501,0.675198412698,213.0,10.65,5.942,433.02
949,4736,MARION,2301.84,115.092,57,52302,0.666603174603,185.25,9.2625,4.104,868.68
951,4738,COUNCIL BLUFFS,3863.52,133.224827586,78,51501,0.687732348112,294.0,10.1379310345,4.31896551724,1416.14
952,4739,COUNCIL BLUFFS,1815.0,181.5,78,51503,0.635841269841,94.5,9.45,5.991,598.56
953,4740,COUNCIL BLUFFS,3951.24,146.342222222,78,51501,0.45551734274,270.0,10.0,4.36333333333,469.68
954,4741,COUNCIL BLUFFS,5104.86,145.853142857,78,51503,0.457798185941,361.5,10.3285714286,4.38942857143,534.3
955,4742,COUNCIL BLUFFS,11912.01,124.0834375,78,51501,0.462079303075,992.85,10.3421875,4.24666666667,4452.48
956,4743,COUNCIL BLUFFS,24399.21,115.090613208,78,51503,1.06724043797,2331.09,10.9957075472,4.41735849057,6378.18
957,4744,CEDAR RAPIDS,5265.25,128.420731707,57,52402,0.837510452962,419.5,10.2317073171,4.51829268293,1123.5
958,4745,CEDAR RAPIDS,4515.9,161.282142857,57,52404,0.550082199546,307.5,10.9821428571,5.06464285714,1016.88
959,4746,MUSCATINE,2795.22,155.29,70,52761,0.649400352734,180.0,10.0,5.82,336.6
960,4747,DAVENPORT,3944.88,146.106666667,82,52803,0.493142269253,274.5,10.1666666667,4.82888888889,1133.76
961,4748,DAVENPORT,1878.9,134.207142857,82,52807,0.467405045351,135.6,9.68571428571,4.29928571429,232.56
962,4749,DAVENPORT,3620.63,134.097407407,82,52804,0.985885508524,231.95,8.59074074074,3.94703703704,1015.44
963,4750,DAVENPORT,2187.18,145.812,82,52807,0.446109347443,157.8,10.52,4.23933333333,161.64
964,4751,DAVENPORT,1419.9,141.99,82,52806,0.527111111111,97.5,9.75,5.063,606.9
965,4752,BURLINGTON,22987.63,170.278740741,29,52655,0.520945413126,1210.12,8.96385185185,3.51296296296,4658.28
966,4753,ADAIR,1475.1,113.469230769,1,50002,0.588999542125,110.85,8.52692307692,3.29769230769,647.52
967,4754,WAVERLY,1891.98,210.22,9,50677,0.70455026455,84.0,9.33333333333,6.54111111111,531.0
969,4756,MARSHALLTOWN,1742.1,108.88125,64,50158,0.77462962963,151.8,9.4875,4.308125,167.88
970,4757,BONDURANT,9664.23,30.8761341853,77,50035,3.8927564426,677.19,2.16354632588,4.25888178914,1350.09
972,4760,WATERLOO,2100.12,150.008571429,7,50701,0.533741496599,133.5,9.53571428571,5.05428571429,664.38
973,4761,WATERLOO,1842.54,167.503636364,7,50701,0.593650793651,105.0,9.54545454545,5.61818181818,485.04
974,4762,FORT ATKINSON,10972.11,87.0802380952,96,52144,1.1815665155,854.85,6.78452380952,5.04825396825,2347.51
975,4764,FORT DODGE,23433.33,94.1097590361,94,50501,1.45981985796,1466.51,5.88959839357,4.3516064257,3496.43
976,4765,DUBUQUE,2188.43,64.3655882353,31,52001,2.21987225351,164.98,4.85235294118,3.36529411765,665.21
977,4766,DUBUQUE,1442.06,90.12875,31,52003,3.26875248016,50.99,3.186875,5.284375,289.51
978,4767,ANKENY,3953.82,53.43,77,50023,2.17637180405,306.89,4.14716216216,4.27567567568,982.99
